pr_id,repo_name,pr_number,pr_title,author_id,state,is_merged,is_draft,created_at,updated_at,closed_at,merged_at,merged_by_id,additions,deletions,pr_size,changed_files,commits_count,comments_count,review_comments_count,total_comments,cycle_time_hours,days_since_created,days_since_updated,first_review_at,last_review_at,time_to_first_review_hours,review_turnaround_time_hours,approvals_count,changes_requested_count,commented_count,has_approval
Am.EventKit#254,Am.EventKit,254,revert: IsPaid,72215925,closed,True,False,2026-01-06T08:39:20+00:00,2026-01-06T08:40:15+00:00,2026-01-06T08:40:15+00:00,2026-01-06T08:40:15+00:00,145009677,10,4,14,2,1,0,0,0,0.015277777777777777,91,91,2026-01-06 08:40:06+00:00,2026-01-06 08:40:06+00:00,0.012777777777777779,,1,0,0,True
Am.EventKit#253,Am.EventKit,253,fix: AllAccomodation fetch setup,72215925,closed,True,False,2026-01-06T08:16:56+00:00,2026-01-06T08:18:26+00:00,2026-01-06T08:18:26+00:00,2026-01-06T08:18:26+00:00,72215925,48,36,84,2,1,0,0,0,0.025,91,91,2026-01-06 08:17:37+00:00,2026-01-06 08:17:37+00:00,0.01138888888888889,,1,0,0,True
Am.EventKit#252,Am.EventKit,252,fix: String to Param issue,72215925,closed,True,False,2026-01-06T05:07:52+00:00,2026-01-06T05:09:26+00:00,2026-01-06T05:09:25+00:00,2026-01-06T05:09:25+00:00,145009677,12,2,14,1,1,0,0,0,0.025833333333333333,91,91,2026-01-06 05:09:20+00:00,2026-01-06 05:09:20+00:00,0.024444444444444446,,1,0,0,True
Am.EventKit#251,Am.EventKit,251,fix: Missing logs in checkin,72215925,closed,True,False,2026-01-06T04:57:06+00:00,2026-01-06T04:57:59+00:00,2026-01-06T04:57:59+00:00,2026-01-06T04:57:59+00:00,145009677,4,0,4,1,1,0,0,0,0.014722222222222222,91,91,2026-01-06 04:57:53+00:00,2026-01-06 04:57:53+00:00,0.013055555555555556,,1,0,0,True
Am.EventKit#250,Am.EventKit,250,fix: AccomodationId abbr,72215925,closed,True,False,2026-01-06T04:48:24+00:00,2026-01-06T04:48:53+00:00,2026-01-06T04:48:53+00:00,2026-01-06T04:48:53+00:00,145009677,4,4,8,4,1,0,0,0,0.008055555555555555,91,91,2026-01-06 04:48:46+00:00,2026-01-06 04:48:46+00:00,0.006111111111111111,,1,0,0,True
Am.EventKit#249,Am.EventKit,249,add logs to rbac,72215925,closed,True,False,2026-01-06T04:05:26+00:00,2026-01-06T04:07:52+00:00,2026-01-06T04:07:52+00:00,2026-01-06T04:07:52+00:00,145009677,9,0,9,1,1,0,0,0,0.04055555555555555,91,91,2026-01-06 04:07:08+00:00,2026-01-06 04:07:08+00:00,0.028333333333333332,,1,0,0,True
Am.EventKit#248,Am.EventKit,248,fix: Gateout,72215925,closed,True,False,2026-01-06T02:35:26+00:00,2026-01-06T02:36:54+00:00,2026-01-06T02:36:54+00:00,2026-01-06T02:36:54+00:00,72215925,4,0,4,1,1,0,0,0,0.024444444444444446,91,91,2026-01-06 02:36:45+00:00,2026-01-06 02:36:45+00:00,0.021944444444444444,,1,0,0,True
Am.EventKit#247,Am.EventKit,247,fix: Missing typo,72215925,closed,True,False,2026-01-06T01:22:44+00:00,2026-01-20T07:45:35+00:00,2026-01-06T01:29:15+00:00,2026-01-06T01:29:15+00:00,72215925,17,8,25,3,3,0,0,0,0.10861111111111112,91,77,2026-01-06 01:29:08+00:00,2026-01-06 01:29:08+00:00,0.10666666666666667,,1,0,0,True
Am.EventKit#246,Am.EventKit,246,fix: Hostel CheckIn,72215925,closed,True,False,2026-01-06T01:12:02+00:00,2026-01-06T01:17:59+00:00,2026-01-06T01:17:59+00:00,2026-01-06T01:17:59+00:00,145009677,107,22,129,4,2,0,0,0,0.09916666666666667,91,91,2026-01-06 01:17:51+00:00,2026-01-06 01:17:51+00:00,0.09694444444444444,,1,0,0,True
Am.EventKit#245,Am.EventKit,245,add missing finance check middleware,72215925,closed,True,False,2026-01-06T00:22:00+00:00,2026-01-06T00:23:25+00:00,2026-01-06T00:23:25+00:00,2026-01-06T00:23:25+00:00,145009677,1,1,2,1,1,0,0,0,0.02361111111111111,91,91,2026-01-06 00:23:19+00:00,2026-01-06 00:23:19+00:00,0.021944444444444444,,1,0,0,True
Am.EventKit#244,Am.EventKit,244,Feat/hostel crud,180295837,closed,True,False,2026-01-05T23:00:30+00:00,2026-01-06T00:15:37+00:00,2026-01-06T00:15:37+00:00,2026-01-06T00:15:37+00:00,72215925,969,76,1045,23,18,0,0,0,1.2519444444444445,91,91,2026-01-05 23:06:47+00:00,2026-01-06 00:15:21+00:00,0.10472222222222222,1.1427777777777777,1,0,0,True
Am.EventKit#243,Am.EventKit,243,Fix/bruno,145009023,closed,True,False,2026-01-05T21:40:15+00:00,2026-01-20T07:45:52+00:00,2026-01-05T21:55:02+00:00,2026-01-05T21:55:01+00:00,145009023,379,263,642,10,4,0,0,0,0.2461111111111111,91,77,2026-01-05 21:51:56+00:00,2026-01-05 21:51:56+00:00,0.1947222222222222,,1,0,0,True
Am.EventKit#242,Am.EventKit,242,Fix/bruno,145009023,closed,True,False,2026-01-05T15:34:03+00:00,2026-01-05T15:39:43+00:00,2026-01-05T15:39:43+00:00,2026-01-05T15:39:43+00:00,145009677,49,17,66,5,2,0,0,0,0.09444444444444444,92,92,2026-01-05 15:39:37+00:00,2026-01-05 15:39:37+00:00,0.09277777777777778,,1,0,0,True
Am.EventKit#241,Am.EventKit,241,feat: add GetAllHostelDetails for accommodation panel,145009023,closed,True,False,2026-01-05T13:02:18+00:00,2026-01-05T14:22:29+00:00,2026-01-05T14:22:29+00:00,2026-01-05T14:22:29+00:00,145009677,123,2,125,6,1,1,0,1,1.3363888888888888,92,92,2026-01-05 14:22:20+00:00,2026-01-05 14:22:20+00:00,1.333888888888889,,1,0,0,True
Am.EventKit#240,Am.EventKit,240,fix: repair bruno endpoints,145009023,closed,True,False,2026-01-05T12:13:28+00:00,2026-01-05T12:15:54+00:00,2026-01-05T12:15:54+00:00,2026-01-05T12:15:54+00:00,145009677,9,7,16,7,1,0,0,0,0.04055555555555555,92,92,2026-01-05 12:15:47+00:00,2026-01-05 12:15:47+00:00,0.03861111111111111,,1,0,0,True
Am.EventKit#239,Am.EventKit,239,Feat/hostel crud,145009023,closed,False,False,2026-01-05T11:58:37+00:00,2026-01-05T12:00:23+00:00,2026-01-05T12:00:23+00:00,,,30,7,37,10,2,0,0,0,0.029444444444444443,92,92,,,,,0,0,0,False
Am.EventKit#238,Am.EventKit,238,Feat/hostel crud,145009023,closed,True,False,2026-01-03T23:23:22+00:00,2026-01-05T04:48:11+00:00,2026-01-05T04:48:08+00:00,2026-01-05T04:48:08+00:00,72215925,2198,87,2285,36,38,0,8,8,29.412777777777777,93,92,2026-01-04 15:47:45+00:00,2026-01-05 04:47:22+00:00,16.406388888888888,12.993611111111111,1,0,0,True
Am.EventKit#236,Am.EventKit,236,Reduce auth token refresh time to 1 hour,72215925,closed,True,False,2026-01-03T05:22:31+00:00,2026-01-20T07:45:53+00:00,2026-01-03T05:23:15+00:00,2026-01-03T05:23:15+00:00,145009677,1,1,2,1,1,0,0,0,0.012222222222222223,94,77,2026-01-03 05:23:02+00:00,2026-01-03 05:23:02+00:00,0.008611111111111111,,1,0,0,True
Am.EventKit#235,Am.EventKit,235,fix: SoloEvents query,72215925,closed,True,False,2026-01-03T05:00:45+00:00,2026-01-03T05:01:52+00:00,2026-01-03T05:01:52+00:00,2026-01-03T05:01:52+00:00,145009677,389,23,412,18,15,0,0,0,0.01861111111111111,94,94,2026-01-03 05:01:45+00:00,2026-01-03 05:01:45+00:00,0.016666666666666666,,1,0,0,True
Am.EventKit#234,Am.EventKit,234,Merge fix,72215925,closed,True,False,2026-01-03T04:39:13+00:00,2026-01-03T04:39:27+00:00,2026-01-03T04:39:27+00:00,2026-01-03T04:39:27+00:00,72215925,170,24,194,8,15,0,0,0,0.0038888888888888888,94,94,,,,,0,0,0,False
Am.EventKit#233,Am.EventKit,233,fix: Add phone-number in organizer dashboards,72215925,closed,True,False,2026-01-03T01:56:45+00:00,2026-01-20T07:45:56+00:00,2026-01-03T02:01:14+00:00,2026-01-03T02:01:14+00:00,145009677,10,5,15,3,1,0,0,0,0.07472222222222222,94,77,2026-01-03 02:01:07+00:00,2026-01-03 02:01:07+00:00,0.07277777777777777,,1,0,0,True
Am.EventKit#232,Am.EventKit,232,fix: correct redis backup loaction,145009023,closed,True,False,2026-01-02T01:16:25+00:00,2026-01-20T07:46:00+00:00,2026-01-02T01:16:50+00:00,2026-01-02T01:16:50+00:00,72215925,1,1,2,1,1,0,0,0,0.006944444444444444,95,77,2026-01-02 01:16:45+00:00,2026-01-02 01:16:45+00:00,0.005555555555555556,,1,0,0,True
Am.EventKit#231,Am.EventKit,231,feat: add script for redis backup,145009023,closed,True,False,2026-01-02T01:03:09+00:00,2026-01-02T01:04:01+00:00,2026-01-02T01:04:01+00:00,2026-01-02T01:04:01+00:00,72215925,90,0,90,1,1,0,0,0,0.014444444444444444,95,95,2026-01-02 01:03:55+00:00,2026-01-02 01:03:55+00:00,0.012777777777777779,,1,0,0,True
Am.EventKit#229,Am.EventKit,229,fix: IsRegistered in profile and remove redundant row,72215925,closed,True,False,2026-01-01T18:58:48+00:00,2026-01-01T19:00:18+00:00,2026-01-01T18:59:58+00:00,2026-01-01T18:59:58+00:00,145009023,44,16,60,2,1,0,0,0,0.019444444444444445,95,95,2026-01-01 18:59:39+00:00,2026-01-01 18:59:39+00:00,0.014166666666666666,,1,0,0,True
Am.EventKit#227,Am.EventKit,227,fix: Poor guy LOLLLLLLLLLLL,72215925,closed,True,False,2025-12-30T03:52:43+00:00,2025-12-30T03:53:25+00:00,2025-12-30T03:53:21+00:00,2025-12-30T03:53:21+00:00,115925529,1,1,2,1,1,0,0,0,0.010555555555555556,98,98,2025-12-30 03:53:15+00:00,2025-12-30 03:53:15+00:00,0.008888888888888889,,1,0,0,True
Am.EventKit#226,Am.EventKit,226,Feat/accomodation mail,143313500,closed,True,False,2025-12-29T16:30:14+00:00,2025-12-29T18:01:23+00:00,2025-12-29T16:42:48+00:00,2025-12-29T16:42:48+00:00,145009023,25,2,27,1,4,0,0,0,0.20944444444444443,99,99,2025-12-29 16:42:24+00:00,2025-12-29 16:42:24+00:00,0.20277777777777778,,1,0,0,True
